date,AAPL,MSFT,JPM,V,RTX,PG,GS,NKE,DIS,AXP,HD,INTC,WMT,IBM,MRK,UNH,KO,CAT,TRV,JNJ,CVX,MCD,VZ,CSCO,XOM,BA,MMM,PFE,WBA,DD
2015-12-01,27.178037643432614,50.39001083374024,57.9829216003418,77.0955810546875,53.8433837890625,65.36822509765625,177.1903533935547,62.52452850341797,108.17050170898438,66.52118682861328,119.66155242919922,30.6762752532959,51.91403579711914,112.56610870361328,46.55199813842773,106.99555206298828,36.40684127807617,60.80343246459961,102.18138885498048,89.44195556640625,74.5650634765625,100.5683364868164,36.49836349487305,23.28405952453613,64.65603637695311,131.48252868652344,135.64994812011722,26.44918441772461,73.30834197998047,62.62783432006836
2015-12-02,26.93252182006836,50.38087844848633,57.168174743652344,76.25624084472656,53.03600692749024,65.23911285400389,174.61143493652344,62.21497344970703,106.8674774169922,65.59983825683594,119.10967254638672,30.448976516723636,51.78092575073242,111.30722045898438,45.91220474243164,108.7332000732422,36.30498123168945,60.35310363769531,101.32455444335938,89.17108917236328,72.76705169677734,99.92687225341795,35.96986389160156,23.17426681518555,62.80850601196289,130.78836059570312,134.61245727539062,25.88275718688965,72.71481323242188,61.30305862426758
2015-12-03,26.6823787689209,49.459228515625,56.4306526184082,75.53266143798828,52.72976303100586,65.19607543945311,169.96759033203125,60.55935668945313,104.88948822021484,64.88120269775389,116.54605865478516,29.75834655761719,52.39324188232422,110.6857452392578,44.86291885375977,106.2930908203125,36.041839599609375,59.17204666137695,98.30364990234376,88.07009887695312,71.63825225830078,99.63690185546876,35.681583404541016,22.760440826416016,61.908424377441406,129.54240417480472,133.47126770019528,25.48153305053711,71.51905059814453,60.7989387512207
2015-12-04,27.56947326660156,51.01964950561523,58.22304916381836,77.56831359863281,53.30327987670898,66.99513244628906,174.36370849609375,62.06489562988281,107.09245300292969,65.50770568847656,119.75057220458984,30.54514122009277,52.94343566894531,111.88883209228516,45.75864791870117,108.82563018798828,36.74638366699219,59.46095657348633,100.75042724609376,89.95750427246094,72.33165740966797,102.10607147216795,36.60245895385742,23.20804214477539,62.26372909545898,132.15887451171878,136.79116821289062,25.80408477783203,73.85823822021484,62.49887084960938
2015-12-07,27.3957633972168,50.92840194702149,57.45977020263672,76.74827575683594,53.40349578857422,67.45993804931639,170.2337646484375,62.022499084472656,106.70809936523438,65.05625915527344,119.21646881103516,30.588851928710934,53.688880920410156,111.18771362304688,45.79277038574219,107.13420867919922,36.66998672485352,58.084449768066406,100.33522033691406,90.28081512451172,70.37238311767578,102.29939270019531,36.882713317871094,23.21648979187012,60.637245178222656,132.11439514160156,136.38484191894528,25.693946838378906,74.07643127441406,60.998252868652344
2015-12-08,27.38418006896973,50.91015625,56.56785202026367,76.2851791381836,52.46806335449219,66.92624664306639,167.87515258789062,62.069602966308594,105.44256591796876,64.41133117675781,119.1363754272461,30.379047393798828,52.89908218383789,109.99259948730469,45.61362838745117,107.10646057128906,36.50871276855469,56.53802490234375,99.79352569580078,89.494384765625,69.69512939453125,102.39606475830078,36.59444427490234,22.92934799194336,58.92391967773438,129.03514099121094,135.5548095703125,25.5916748046875,73.02030944824219,59.67346954345703
2015-12-09,26.779653549194336,50.1709976196289,56.13906478881836,75.13710021972656,52.4290885925293,66.88320159912111,165.846923828125,60.7217025756836,104.49577331542969,64.36524963378906,117.40949249267578,30.43148994445801,52.47311401367188,108.84525299072266,45.05912399291992,106.3393325805664,36.21162033081055,56.00273132324219,98.61238098144531,89.25846099853516,70.63040924072266,102.43997955322266,36.32219314575195,22.574636459350586,59.71347427368164,128.36769104003906,134.91510009765622,25.40286636352539,72.7409896850586,66.78973388671875
2015-12-10,26.90704917907715,50.435630798339844,56.2677001953125,75.3686294555664,52.26761245727539,66.96068572998047,167.13177490234375,60.62744903564453,104.49577331542969,64.59557342529297,117.9792022705078,30.396522521972656,52.85470199584961,108.98067474365234,45.80130004882813,107.4114990234375,36.2964973449707,56.40208053588867,98.56797790527344,89.6866455078125,72.0010986328125,102.98478698730469,36.29016876220703,22.608421325683594,59.76083755493164,130.29890441894528,136.18595886230472,25.457937240600586,72.81082916259766,64.37467193603516
2015-12-11,26.21451187133789,49.33147811889648,54.94697952270508,73.42943572998047,51.950233459472656,66.95207214355469,162.03823852539062,59.5198974609375,101.92961120605469,63.44389724731445,116.10989379882812,29.95941925048828,52.67721939086914,107.2198486328125,44.87202453613281,107.19889068603516,35.88056564331055,55.59487533569336,97.4756317138672,88.8477783203125,69.69512939453125,102.0006332397461,35.88978576660156,22.093246459960934,58.69496154785156,128.70588684082028,133.86033630371094,25.2219181060791,71.31830596923828,62.56920623779297
2015-12-14,26.052379608154297,50.31701278686523,55.11850357055664,74.16266632080078,51.79989242553711,67.39108276367189,161.8914031982422,60.25983047485352,103.16551208496094,63.41626358032226,117.5074234008789,30.134258270263672,53.59125518798828,108.30343627929688,44.91504287719727,107.07874298095705,36.03335571289063,56.18115615844727,98.60350799560548,89.25846099853516,72.02526092529297,102.1588134765625,36.39426040649414,22.3719482421875,60.02930068969727,127.26414489746094,136.28106689453122,25.316326141357425,72.0602035522461,60.13068771362305
